sample	control	fq1	fq2	sample_group	enriched_factor
REP	NA	PR001058_JONR_ATAC/REP_72Mat2ai_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Mat2ai_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_72Mat2ai_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Mat2ai_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_72Mat2ai_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Mat2ai_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_72Veh_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Veh_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_72Veh_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Veh_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_72Veh_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_72Veh_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Mat2ai_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Mat2ai_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Mat2ai_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Mat2ai_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Mat2ai_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Mat2ai_3_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Veh_1_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Veh_1_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Veh_2_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Veh_2_L000_R2_001.fastq.gz	REP	
REP	NA	PR001058_JONR_ATAC/REP_8Veh_3_L000_R1_001.fastq.gz	PR001058_JONR_ATAC/REP_8Veh_3_L000_R2_001.fastq.gz	REP	
