sample	control	fq1	fq2	sample_group	enriched_factor
311A	NA	311A_L000_R1_001.fastq.gz	311A_L000_R2_001.fastq.gz	311A	
312A	NA	312A_L000_R1_001.fastq.gz	312A_L000_R2_001.fastq.gz	312A	
